ID,Beszállító,Termék neve,Lot szám,Gyártás ideje,Lejárat,Mennyiség,Megjegyzés
1,Nutrifocus,Collagen complex málna 300g,NF3239,2026-09-01,2028-08-27,220,
2,Nutrifocus,Collagen complex 60x,NF3248,2026-09-02,2028-08-31,1,
3,Nutrifocus,Collagen complex alma 300g,NF3233,2026-09-02,2028-08-27,9,
4,Nutrifocus,Collagen complex körte 300g,NF3237,2026-09-02,2028-08-27,10,
5,Nutrifocus,Collagen complex limonádé 300g,NF3238,2026-09-02,2028-08-27,36,
6,Nutrifocus,Collagen complex mangó 300g,NF3240,2026-09-02,2028-08-27,37,
7,Nutrifocus,Collagen complex pinacolada 300g,NF3241,2026-09-02,2028-08-27,10,
8,Nutrifocus,Collagen complex STEVIA ananász 300g,NF3242,2026-09-02,2028-08-27,10,
9,Nutrifocus,Collagen complex STEVIA málna 300g,NF3243,2026-09-02,2028-08-27,9,
10,Nutrifocus,Collagen complex szőlő 300g,NF3244,2026-09-02,2028-08-27,10,
13,Hunberry,Alga supreme 30x,DI3045,2026-09-02,2028-08-31,1040,
14,Nutrifocus,Collagen complex ananász 300g,NF3234,2026-08-28,2028-08-27,3,
15,Nutrifocus,Collagen complex görögdinnye 300g,NF3235,2026-09-02,2028-08-27,9,
16,Nutrifocus,Collagen complex ízesítetlen 300g,NF3236,2026-09-02,2028-0827,9,
17,Nutrifocus,Collagen complex Beauty málna 300g,NF3108,2026-09-02,2028-08-24,10,
18,Baby-med,Terhesvitamin 3. Trimeszter jód nélkül 60x,BM3228,2026-09-02,2029-08-31,548,
19,Herba-D,Omega-3 60x,DI3115,2026-09-02,2029-03-31,500,
20,Nutrifocus,Hyaluron 60x,NF3249,2026-09-02,2028-08-31,16,
21,Herba-D,Selyemmirtusz + gyapjas tintagomba 60x,NF3106,2026-09-02,2028-08-31,544,
22,Nutrifocus,Magnézium-biszglicinát 90x,NF3247,2026-09-02,2028-08-31,3,
23,Herba-D,Rovida 30x,DI3043,2026-09-02,2028-08-31,323,
24,Hyggemin,C-vitamin komplex 60x,HG2983,2026-09-03,2028-07-31,311,
25,Natur-L,Allerot 125ml,DI3253,2026-09-03,2028-08-31,146,
26,Hyggemin,Magnézium-biszglicinát + B6 90x,HG2982,2026-09-03,2028-07-31,542,
27,Nutrifocus,Shaper 60x,NF3250,2026-09-03,2028-08-31,216,
28,Bubble Tea,Sour 2 liter,BT3123,2026-09-03,2027-09-30,38,
29,Natur-L,Álombogyó komplex 30x,DI3044,2026-09-03,2028-08-31,310,
30,Odeen,Fruit storm 20x,OE3036,2026-09-03,2028-08-31,203,
31,Odeen,Tropic raid 20x,OE3038,2026-09-03,2028-08-31,97,
32,Odeen,Dark fjord 20x,OE3035,2026-09-03,2028-08-31,85,
33,Odeen,Nordic frost 20x,OE3037,2026-09-03,2028-08-31,156,
34,Baby-med,Sleepnorm 30x,BM3122,2026-09-03,2029-08-31,661,
35,Odeen,Loki lemon 20x,OE3028,2026-09-03,2028-08-31,205,
36,Vital-Trend,Inozitol + kolin kapszula,VT3267,2026-09-03,2028-11-30,20000,
37,Vital-Trend,Kreatin-monohidrát kapszula,VT3266,2026-09-03,2028-09-30,15800,
38,Bubble Tea,Refresher 2 liter,BT3119,2026-09-04,2027-09-30,524,
39,Vegnum,Nutri Fruits trópusi gyümölcs magnéziummal 30x,24102901,2026-09-04,2027-04-28,500,
40,Natur-L,Gyapjas tintagomba 50% 60x,DI3261,2026-09-04,2029-05-31,1436,
43,Vegnum,Nutri Fruits alma ízű almaecettel 30x,24121602,2026-09-04,2027-06-15,500,
57,Vegnum,Nutri Fruits feketeribizli vassal 30x,25121806,2026-09-07,2027-06-17,600,
58,Vegnum,Nutri fruits pirosgyümölcs élőflórás 30x,25121003,2026-09-07,2027-06-09,600,
59,Nutrifocus,Collagen complex mangó 300g,NF3275,2026-09-07,2028-09-04,1008,
60,Nutrifocus,Collagen complex limonádé 300g,NF3276,2026-09-07,2028-09-04,906,
61,Natur-L,Tüskegomba 60x,DI3252,2026-09-07,2028-08-31,542,
62,Nutrifocus,Collagen complex alma 300g,NF3277,2026-09-07,2028-09-04,606,
63,Hunberry,Black garlic 30x,DI3262,2026-09-07,2028-08-31,1027,
64,Nutrifocus,Collagen complex Beauty mangó 300g,NF3232,2026-09-07,2028-09-03,81,
65,Nutrifocus,Collagen complex Beauty limonádé 300g,NF3230,2026-09-07,2028-09-03,106,
66,Nutrifocus,Collagen complex Beauty ananász 300g,NF3229,2026-09-07,2028-09-03,106,
67,Nutrifocus,Collagen complex Beauty málna 300g,NF3231,2026-09-08,2028-09-03,260,
68,Herba-D,Fitoösztro komplex 30x,DI3296,2026-09-08,2028-09-30,514,
69,Herba-D,Digeso 30x,DI3254,2026-09-08,2028-08-31,322,
71,Mimo,Kollagén+C-vitamin 90x,NO2786,2026-05-26,2028-05-31,89,
72,MIMO,Kurkuma 90x,NO2046,2025-11-13,2027-11-30,34,
73,Herba-D,C-vitamin komplex 60x,DI3251,2026-09-08,2028-08-31,314,
74,Nutrifocus,Collagen complex ananász 300g,NF3278,2026-09-08,2028-09-04,1005,
75,Nutrifocus,Collagen complex ízesítetlen 300g,NF3284,2026-09-08,2028-09-04,301,
76,Nutrifocus,Collagen complex körte 300g,NF3281,2026-09-08,2028-09-04,360,
77,Virág Natura,D-vitamin tabletta 60x,VN3259,2026-09-08,2028-09-30,304,
78,Virág Natura,E-vitamin 60x,VN3260,2026-09-08,2028-09-30,317,
79,Nutrifocus,Collagen complex STEVIA körte 300g,NF3291,2026-09-08,2028-09-04,101,
80,Nutrifocus,Collagen complex halkollagén 150g,NF3294,2026-09-08,2028-09-04,48,
81,Nutrifocus,Collagen complex marhakollagén 300g,NF3293,2026-09-08,2028-09-04,48,
82,Nutrifocus,Collagen complex pinacolada 300g,NF3280,2026-09-08,2028-09-04,401,
83,Nutrifocus,Joint+ 150x,NF3295,2026-09-08,2028-09-30,728,
